"Byskealven","Ranealven","Lainioalven","Ljusnan","Saltelva","Vefsna","Vindelalven","Ljungan"
1507,1874,1863,1678,1032,1677,1617,1187
1769,1832,1752,1688,1141,1113,907,1476
1762,1945,1992,1680,1796,987,1209,1151
1077,1881,1823,1711,1131,2501,1843,1238
1246,1905,1828,1654,1545,500,1066,970
943,1882,2749,1666,1394,1655,1353,1477
1776,1894,1799,1700,1054,977,1760,1569
1453,1672,2175,1243,1171,1748,1021,1702
1129,1831,1857,1716,1347,1526,1505,1673
1875,1893,1829,1672,1675,1401,1792,1577
1847,1883,1808,1650,2740,1882,1794,1166
1792,1898,1794,1684,1479,1025,1594,963
1286,1951,1776,1708,1615,1192,1126,1012
1870,1873,1803,1698,1646,1129,1616,1528
1798,1847,1810,1725,2335,1164,1448,1651
1811,1842,1905,1674,1167,1522,1646,1145
1806,1894,1828,1740,1582,1652,1347,1653
1016,1916,1788,1722,1284,1734,1447,1090
1590,1888,1872,1692,1081,1157,1647,955
1798,1418,1832,1407,1783,499,1488,1669
1834,1216,2752,1134,1843,1795,1443,1006
1794,1916,1842,1676,1107,486,1696,1669
989,1777,2778,1671,1516,1475,1648,941
1457,1877,2632,1111,1589,1791,1797,1461
1832,1867,2688,1158,1792,1331,1635,1685
1856,1817,1793,1492,1490,580,1776,1182
1794,1911,2690,1691,1621,1043,1253,1540
1787,1826,1693,1707,985,455,896,1030
1809,1844,1747,1595,615,1590,1169,1096
1875,1271,1879,1472,1067,1102,1345,951
1790,1762,2654,1629,1420,1038,1693,1622
1816,1856,2695,1062,1420,561,1144,1635
1740,1771,2727,1703,1699,,988,1613
1878,1865,2733,1638,1817,,1451,1776
1698,1922,2017,987,1155,,1677,1006
1739,1777,1899,1687,1638,,1455,1649
1593,1905,2701,1697,1676,,1374,916
1811,1919,1770,1772,1230,,1695,1603
1803,1855,2552,1674,1029,,1426,1698
1868,1880,1340,1481,1498,,1650,1517
1795,1487,2680,1704,1443,,1756,1606
1710,1880,2733,2806,1790,,1615,1001
1805,1896,1716,1699,1399,,1772,1214
1419,1923,1907,1706,1158,,1069,955
1635,1927,1769,1709,979,,1741,993
1800,1846,1845,1694,1540,,1183,1498
1606,3551,1883,1688,1841,,1586,1701
1622,1834,1735,1670,1092,,1783,1620
1865,1802,1794,1707,1799,,1750,642
1813,1854,1781,1683,1066,,1678,1191
968,1876,1801,917,1475,,1690,944
1627,1925,2653,1700,1177,,1814,1503
1497,1879,1824,1755,1114,,1784,1582
1812,1850,1848,1696,521,,1733,1648
1782,1912,1856,1514,1680,,1662,1500
1823,1907,2719,1705,2696,,951,758
1813,1934,1932,1680,1772,,1749,1786
1387,1922,1998,855,1058,,1519,1148
1623,1885,2638,1705,,,1793,1017
,,2087,1724,,,1634,1077
,,,1694,,,1820,1626
,,,,,,,1005
,,,,,,,1700
,,,,,,,1056
,,,,,,,1598
